iter	Passed	Remaining
0	152	152069
1	154	77107
2	157	52223
3	159	39679
4	160	32033
5	163	27092
6	166	23590
7	168	20896
8	171	18865
9	173	17196
10	175	15812
11	178	14717
12	180	13735
13	183	12896
14	185	12206
15	188	11562
16	190	11033
17	193	10540
18	195	10101
19	198	9725
20	200	9366
21	203	9040
22	205	8747
23	208	8472
24	210	8225
25	213	8014
26	216	7802
27	219	7619
28	220	7398
29	224	7250
30	227	7117
31	231	7011
32	234	6866
33	237	6743
34	240	6638
35	243	6518
36	246	6419
37	249	6312
38	252	6233
39	256	6144
40	259	6069
41	262	5986
42	266	5929
43	269	5863
44	273	5795
45	275	5720
46	279	5658
47	281	5589
48	285	5540
49	288	5485
50	291	5431
51	295	5378
52	298	5329
53	301	5282
54	305	5248
55	308	5200
56	313	5178
57	316	5134
58	319	5098
59	323	5067
60	327	5038
61	334	5054
62	339	5052
63	345	5046
64	351	5060
65	357	5062
66	362	5049
67	366	5024
68	370	4995
69	374	4975
70	378	4955
71	382	4925
72	386	4907
73	389	4878
74	393	4851
75	397	4830
76	401	4817
77	405	4789
78	408	4767
79	412	4740
80	415	4718
81	419	4698
82	423	4679
83	427	4659
84	430	4635
85	434	4615
86	437	4591
87	441	4574
88	444	4551
89	448	4538
90	451	4514
91	455	4499
92	459	4477
93	462	4461
94	466	4440
95	469	4420
96	472	4395
97	475	4376
98	478	4354
99	482	4340
100	485	4318
101	488	4300
102	491	4282
103	495	4266
104	498	4245
105	501	4231
106	504	4211
107	508	4196
108	510	4172
109	513	4156
110	516	4137
111	519	4120
112	523	4107
113	526	4093
114	530	4079
115	533	4066
116	536	4052
117	541	4047
118	544	4028
119	547	4017
120	550	4000
121	554	3987
122	557	3973
123	560	3960
124	563	3947
125	567	3935
126	570	3924
127	574	3914
128	577	3900
129	581	3892
130	584	3878
131	588	3869
132	591	3853
133	594	3842
134	597	3827
135	600	3817
136	603	3803
137	606	3788
138	609	3774
139	612	3759
140	615	3750
141	618	3737
142	621	3726
143	624	3711
144	627	3699
145	630	3685
146	632	3672
147	636	3662
148	638	3649
149	642	3638
150	645	3627
151	648	3616
152	650	3601
153	653	3590
154	656	3577
155	658	3564
156	661	3553
157	664	3540
158	666	3527
159	669	3516
160	672	3503
161	675	3493
162	677	3481
163	680	3471
164	683	3459
165	686	3447
166	689	3438
167	691	3426
168	695	3419
169	698	3408
170	701	3401
171	704	3391
172	707	3382
173	710	3372
174	713	3363
175	716	3355
176	719	3345
177	722	3337
178	725	3327
179	728	3319
180	731	3310
181	734	3300
182	737	3292
183	740	3283
184	743	3274
185	746	3266
186	749	3259
187	752	3249
188	755	3242
189	758	3235
190	762	3228
191	765	3219
192	768	3212
193	771	3203
194	774	3196
195	777	3188
196	780	3180
197	782	3170
198	785	3162
199	788	3155
200	791	3144
201	794	3138
202	797	3130
203	800	3121
204	802	3113
205	805	3105
206	808	3098
207	811	3090
208	814	3084
209	818	3077
210	821	3071
211	824	3063
212	827	3056
213	830	3050
214	833	3041
215	836	3034
216	838	3025
217	841	3019
218	844	3010
219	847	3003
220	848	2991
221	851	2982
222	853	2974
223	857	2969
224	859	2960
225	862	2953
226	864	2945
227	867	2938
228	870	2930
229	873	2923
230	875	2916
231	878	2906
232	880	2899
233	883	2891
234	886	2884
235	888	2877
236	891	2870
237	894	2863
238	897	2857
239	900	2850
240	903	2845
241	906	2839
242	909	2834
243	913	2829
244	916	2824
245	919	2817
246	922	2811
247	925	2805
248	928	2800
249	931	2794
250	934	2788
251	937	2782
252	940	2776
253	943	2771
254	946	2766
255	949	2760
256	952	2754
257	955	2748
258	958	2742
259	961	2735
260	964	2729
261	966	2723
262	970	2718
263	972	2712
264	976	2707
265	978	2701
266	981	2695
267	985	2691
268	988	2687
269	991	2681
270	994	2674
271	997	2669
272	1000	2663
273	1003	2658
274	1006	2652
275	1009	2647
276	1012	2641
277	1015	2636
278	1018	2632
279	1021	2627
280	1024	2622
281	1027	2616
282	1030	2611
283	1033	2605
284	1036	2600
285	1039	2595
286	1042	2590
287	1045	2585
288	1047	2577
289	1050	2572
290	1053	2567
291	1056	2562
292	1059	2556
293	1062	2551
294	1065	2546
295	1068	2540
296	1071	2535
297	1073	2529
298	1076	2523
299	1079	2517
300	1081	2512
301	1084	2507
302	1087	2500
303	1089	2495
304	1092	2488
305	1094	2482
306	1097	2477
307	1100	2471
308	1102	2465
309	1105	2460
310	1107	2454
311	1110	2449
312	1113	2443
313	1116	2438
314	1118	2433
315	1121	2428
316	1125	2424
317	1127	2419
318	1130	2414
319	1133	2409
320	1136	2404
321	1139	2399
322	1142	2394
323	1145	2389
324	1147	2384
325	1151	2379
326	1153	2374
327	1156	2369
328	1159	2364
329	1162	2359
330	1165	2355
331	1168	2350
332	1171	2346
333	1173	2340
334	1176	2335
335	1179	2331
336	1182	2325
337	1185	2321
338	1187	2316
339	1191	2312
340	1193	2306
341	1196	2301
342	1199	2296
343	1201	2291
344	1204	2287
345	1207	2283
346	1211	2279
347	1213	2274
348	1217	2270
349	1220	2266
350	1223	2262
351	1227	2258
352	1229	2254
353	1233	2250
354	1235	2245
355	1239	2241
356	1242	2237
357	1245	2233
358	1248	2228
359	1251	2224
360	1253	2219
361	1256	2214
362	1259	2210
363	1262	2206
364	1265	2201
365	1268	2197
366	1271	2193
367	1274	2189
368	1277	2184
369	1280	2179
370	1283	2175
371	1286	2171
372	1288	2166
373	1291	2161
374	1294	2156
375	1296	2151
376	1299	2147
377	1302	2143
378	1305	2138
379	1308	2134
380	1311	2130
381	1314	2126
382	1317	2121
383	1320	2117
384	1323	2113
385	1326	2109
386	1328	2104
387	1331	2100
388	1335	2097
389	1338	2093
390	1341	2089
391	1344	2084
392	1347	2081
393	1350	2076
394	1353	2072
395	1355	2068
396	1358	2063
397	1361	2059
398	1364	2055
399	1367	2051
400	1369	2046
401	1373	2042
402	1375	2038
403	1379	2034
404	1382	2030
405	1385	2026
406	1388	2022
407	1391	2018
408	1394	2014
409	1396	2010
410	1400	2006
411	1403	2002
412	1406	1998
413	1408	1994
414	1411	1990
415	1415	1986
416	1417	1982
417	1421	1978
418	1423	1974
419	1427	1970
420	1430	1966
421	1432	1962
422	1436	1958
423	1439	1954
424	1442	1951
425	1444	1946
426	1448	1943
427	1450	1939
428	1453	1935
429	1456	1931
430	1459	1927
431	1462	1923
432	1465	1918
433	1468	1914
434	1471	1910
435	1474	1906
436	1477	1903
437	1480	1899
438	1483	1895
439	1485	1891
440	1489	1887
441	1492	1883
442	1495	1879
443	1497	1875
444	1501	1873
445	1504	1869
446	1508	1865
447	1510	1861
448	1513	1857
449	1516	1853
450	1519	1849
451	1522	1845
452	1524	1841
453	1527	1837
454	1530	1833
455	1533	1828
456	1535	1824
457	1538	1820
458	1540	1816
459	1543	1812
460	1546	1808
461	1549	1804
462	1552	1800
463	1555	1796
464	1558	1792
465	1560	1788
466	1563	1784
467	1566	1780
468	1569	1776
469	1572	1772
470	1575	1769
471	1577	1765
472	1580	1761
473	1583	1757
474	1586	1753
475	1589	1749
476	1591	1745
477	1594	1741
478	1597	1737
479	1600	1734
480	1603	1730
481	1606	1726
482	1609	1722
483	1611	1718
484	1614	1713
485	1617	1710
486	1619	1706
487	1623	1702
488	1625	1698
489	1628	1695
490	1631	1691
491	1633	1686
492	1637	1683
493	1639	1679
494	1642	1675
495	1645	1672
496	1648	1668
497	1651	1664
498	1654	1660
499	1657	1657
500	1659	1653
501	1663	1649
502	1665	1645
503	1668	1642
504	1671	1638
505	1674	1634
506	1677	1631
507	1680	1627
508	1683	1623
509	1685	1619
510	1688	1615
511	1691	1612
512	1694	1609
513	1698	1605
514	1700	1601
515	1703	1598
516	1706	1594
517	1709	1591
518	1712	1587
519	1715	1583
520	1718	1580
521	1721	1576
522	1724	1572
523	1727	1569
524	1730	1565
525	1733	1561
526	1735	1558
527	1738	1554
528	1741	1550
529	1743	1546
530	1746	1542
531	1748	1538
532	1751	1534
533	1754	1530
534	1756	1527
535	1759	1523
536	1761	1519
537	1764	1515
538	1767	1511
539	1770	1508
540	1773	1505
541	1777	1501
542	1779	1498
543	1782	1494
544	1785	1491
545	1788	1487
546	1791	1483
547	1794	1480
548	1797	1476
549	1800	1473
550	1803	1469
551	1806	1465
552	1808	1462
553	1811	1458
554	1814	1455
555	1818	1451
556	1820	1448
557	1823	1444
558	1826	1440
559	1829	1437
560	1832	1434
561	1835	1430
562	1838	1427
563	1841	1423
564	1844	1419
565	1847	1416
566	1849	1412
567	1852	1409
568	1855	1405
569	1858	1402
570	1861	1398
571	1865	1395
572	1867	1391
573	1870	1388
574	1873	1384
575	1876	1381
576	1879	1377
577	1882	1374
578	1885	1371
579	1888	1367
580	1890	1363
581	1894	1360
582	1896	1356
583	1899	1353
584	1902	1349
585	1905	1345
586	1907	1342
587	1910	1338
588	1913	1335
589	1916	1331
590	1919	1328
591	1922	1324
592	1925	1321
593	1927	1317
594	1930	1314
595	1933	1310
596	1936	1307
597	1940	1304
598	1943	1300
599	1946	1297
600	1949	1293
601	1951	1290
602	1954	1286
603	1956	1283
604	1959	1279
605	1962	1275
606	1964	1272
607	1967	1268
608	1970	1264
609	1973	1261
610	1976	1258
611	1979	1254
612	1981	1251
613	1984	1247
614	1987	1244
615	1990	1240
616	1993	1237
617	1995	1233
618	1998	1230
619	2001	1226
620	2004	1223
621	2007	1220
622	2010	1216
623	2013	1213
624	2016	1209
625	2019	1206
626	2022	1203
627	2025	1199
628	2028	1196
629	2031	1193
630	2034	1189
631	2037	1186
632	2040	1182
633	2043	1179
634	2045	1176
635	2049	1172
636	2051	1169
637	2054	1165
638	2058	1163
639	2061	1159
640	2064	1156
641	2067	1153
642	2071	1149
643	2073	1146
644	2077	1143
645	2079	1139
646	2082	1136
647	2085	1132
648	2088	1129
649	2091	1126
650	2094	1122
651	2097	1119
652	2100	1116
653	2103	1112
654	2106	1109
655	2109	1105
656	2112	1102
657	2115	1099
658	2117	1095
659	2120	1092
660	2123	1089
661	2126	1085
662	2129	1082
663	2132	1078
664	2134	1075
665	2137	1071
666	2139	1068
667	2142	1064
668	2145	1061
669	2148	1057
670	2150	1054
671	2153	1051
672	2155	1047
673	2158	1044
674	2161	1040
675	2164	1037
676	2166	1033
677	2169	1030
678	2172	1027
679	2174	1023
680	2177	1019
681	2179	1016
682	2182	1012
683	2185	1009
684	2188	1006
685	2190	1002
686	2193	999
687	2196	996
688	2199	992
689	2202	989
690	2205	986
691	2208	983
692	2211	979
693	2214	976
694	2217	972
695	2220	969
696	2223	966
697	2226	963
698	2228	959
699	2231	956
700	2234	953
701	2237	949
702	2240	946
703	2243	943
704	2246	940
705	2249	936
706	2252	933
707	2254	929
708	2257	926
709	2261	923
710	2263	920
711	2266	916
712	2269	913
713	2272	910
714	2275	907
715	2278	903
716	2281	900
717	2284	897
718	2287	893
719	2289	890
720	2292	887
721	2295	883
722	2298	880
723	2301	877
724	2304	874
725	2322	876
726	2326	873
727	2329	870
728	2331	866
729	2335	863
730	2338	860
731	2341	857
732	2344	854
733	2348	850
734	2351	847
735	2354	844
736	2357	841
737	2360	838
738	2363	834
739	2367	831
